"","coef.lower","coef.upper","p","shape.min","shape.max"
"100",4.75,5.25,0.5,1.6,2
"110",5.25,5.75,0.5,1.4,1.65
"120",5.75,6.25,0.5,1.2,1.45
"130",6.25,6.75,0.5,1,1.2
"140",6.75,7.25,0.5,0.95,1.05
"150",7.25,7.75,0.5,0.85,1
"160",7.75,8.25,0.5,0.7,0.9
"170",8.25,8.75,0.5,0.7,0.8
"180",8.75,9.25,0.5,0.6,0.7
"190",9.25,9.75,0.5,0.575,0.7
"200",9.75,10.25,0.5,0.5,0.6
"210",10.25,10.75,0.5,0.5,0.6
